,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
173,汎用的な受注管理に利用,currently not using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-29,4,"当初は特定部署向けにカスタマイズ前提で導入を検討していたが、最終的にはカスタマイズせずに運用することになった。
結果的にカスタマイズしないことで汎用ツールとして各営業部署でも使えるようになった。",301-500,部署を超えた情報共有・見える化が捗り、項目を汎用的に揃えることで横串での観点により横断的な分析ができるようになった。,4.0,4.0,1.0,3.0,3.0
174,売上管理と案件管理が一目で分かります！,using,IT related Service,2020-10-28,4,"案件に紐づいたCLやAGの管理、売上の管理、検索機能が役に立っています。
SFを見れば一発という状況が作り出せるところが魅力的です。
CLから過去の案件や全社での取引状況が把握できるとこも役に立っています。",>101-200,基本的なSFAの機能が充実しており、大手ゆえの大きいサーバーを完備しているので、接続面なので苦労したことはありません。他の項目でも記入しましたが案件に紐づいたCLやAGの管理、売上の管理、検索機能が役に立っています。SFを見れば一発という状況が作り出せるところが魅力的です。,4.0,4.0,4.0,4.0,4.0
175,標準的なCRMの仕組み,using,IT related Service,2020-10-27,4,"業界標準のCRM、ある程度、必要なオブジェクトが用意されているため始めやすいです。
また、複雑な事も対応できるため、会社独自の処理なども追加変更が可能です。
色々な会社からの意見を反映しているので、ノウハウも豊富です。",2-10,まだ、本格的には使っていませんが、標準的なオブジェクトが利用できる事により、できる選択肢が広がりました。,4.0,4.0,5.0,4.0,5.0
176,営業で必要なことが全て細かくわかるようになった,using,Consulting Service,2020-10-27,4,今までは競合他社のサービスを利用していましたが、そちらはサーバーが重く更新作業が進まずむしろ業務効率が悪くなってしまいましたが、こちらはそのようなことはなく、随時必要な情報を確認することが出来た,>51-100,営業プロセスの中でいつまでにどれだけの行動量でどれだけの案件があれば良いのかが重要な指標になりますが、それが一目でわかるため、日々追うべき指標が明確になった,4.0,4.0,4.0,4.0,4.0
177,タスク管理・月次目標設定・勤怠管理がスムーズにできる！！,using,IT related Service,2020-10-27,4,勤怠管理や、月次目標などの設定は簡単に行える。また、タスク管理・スケジュール管理も同ウィンドウ内で可能なので、非常に便利だと思います。交通費の精算や定期申請も幅広い区間登録されているので、入力なども時間をかけずに可能です。,>1,社員1人1人の月次目標設定やタスクスケジュール管理を冗長が一元管理できるので、社員管理が非常に楽だと感じます。週間・月間スケジュール共に一元管理可能なので、部署の責任者の視点から考えても非常に有用なサービスだと考えます。,5.0,4.0,4.0,5.0,5.0
178,最高に使いやすい,using,IT related Service,2020-10-26,5,全社標準のCRMとして基幹システムとして運用されており、リード管理・キャンペーン管理・商談管理・見積もり作成・お客様管理等全く回らない程重要なシステムになっている。,>1000,全社規模で導入するにあたり、社員教育は必須。実際問題として、しっかりりとした教育無しに導入すると、導入したは良いが使いこなせないシステムになってしまう。,5.0,5.0,5.0,5.0,5.0
179,顧客情報の一元管理ができ情報共有がスムーズにできる,using,Retail/distribution/trading companies,2020-10-22,5,顧客管理のソフトは他にもいろいろ使ってきたが、セールスフォースは顧客管理だけでなくタスク管理や権利者権限など機能の豊富さが他と比べて圧倒的に多く社内での情報共有や一人一人の従業員の受け持っている顧客に対する対応の質が非常に上がった。,>1000,"①顧客情報の共有ができる事により、他従業員との連携がスムーズになった。
②細分化したタスク管理が可能なため顧客一人一人に対してのサービス力が均等化し相乗的向上した。",5.0,5.0,3.0,5.0,5.0
180,これまで使ってきたCRM/SFAツールでは一番使いやすい,using,Real Estate/Construction/Equipment,2020-10-21,4,"豊富な機能で、組織として必要な機能全てをブラウザー上で完結させる。
顧客情報、商談情報、マーケティング情報、その他諸々のワークフローなども一つのツールで対応できるので便利。
レポート機能は、とくに便利です。
様々な軸で売り上げデータを抽出する為のレポートを自分で作成できるだけではなく、そのルールを保存して繰り返し利用する事が可能です。",>1,"顧客情報の一元管理。
必要な情報に、いつでもどこからでもアクセスできる。
情報を探し回るのに時間をかける事がなくなった。",4.0,4.0,4.0,5.0,4.0
182,グループでバラバラだった顧客データを一元管理,using,Manufacturer/manufacturing system,2020-10-20,4,ミニマムなプランではありましたが、大容量データのユーザーデータおよび補足データの情報について十分に管理ができてました。また、レポート業務も簡易に作成でき、工数削減につながりました。,>1,グループ間で各々管理していたユーザーデータの一元管理を行うために導入しました。顧客に対するLTV最大化のためのキープロセスが明確になり、分析環境としても活用できました。各キャンペーンの結果も都度蓄積することで、施策精度を上げることできています。,4.0,5.0,5.0,3.0,3.0
183,顧客から営業の進捗までを一括管理,using,Manufacturer/manufacturing system,2020-10-18,5,顧客の情報を管理できるのはもちろんのこと、過去の顧客とのやり取りや、現在の顧客との進捗状況を細かく把握・管理ができます。顧客の情報と営業の活動管理を紐づけることができるので、営業社員のマネージメントであったり、営業活動やタスク管理の標準化を推進しやすく、均質な顧客対応ができるようになりました。,2-10,以前は顧客管理はエクセルで管理をしていました。その瞬間の案件に関する情報は得ることができますが、お客さんのリードソースだったり、営業とのやり取りだったりが不鮮明でした。また、ベテラン営業社員に属人的にな組織になっていたので世代交代の際ベテラン営業社員の持っている情報を会社の資産とすることが難しかったです。セールスフォースを導入するようになってから、顧客の情報や営業のやりとりはセールスフォースに保存されるようになったので、例えばお客様から連絡があった際に、担当営業マンが不在であったとしても過去のやり取りの履歴からある程度の対応ができるようになりました。セールスフォースによって顧客の情報が共有されるようになり、顧客との商談期間も短くなったことが導入後の効果です。,4.0,5.0,5.0,5.0,4.0
184,評価面談時に自分の実績やコメントを記入している,using,IT related Service,2020-10-18,3,会社における半期・通期の評価面談における評価シートという位置づけで本ツールを使っている。過去のアーカイブからのコピーアンドペーストも容易で助かっている。また点数やコメントも入れやすく便利である。,>1000,複数の項目に渡って評価の点数やコメントを入れることでき便利であり、またそれらへの採点やコメント、フィードバックも記入され、見やすく管理に非常に向いている。,4.0,4.0,3.0,3.0,5.0
185,わかりやすいサービスでした！,currently not using,IT related Service,2020-09-10,4,自分の能力もそうでしたが、とても働きやすい環境ではありました。またいろんなサービスを利用できたのはすごいいいことだと思いました。サービス向上に努めたいと思いました。,>1,タスクの管理が難しく感じました。スケジュールが立てづらいのもありましたが、そこは仕方なかったと思います。,5.0,5.0,5.0,5.0,4.0
186,営業組織のお供には、高いがやっぱりセールスフォース,using,IT related Service,2020-10-13,5,正直SFA単体で言うと安くはない金額だと思うが、それでも導入数が圧倒的に多いのには理由があると思いますが、その1つがノウハウ・ナレッジが開示されており、どの様に使うことによって営業組織の生産性が上がっていくのかが明確にロジックでわかるところかと思っています。また、彼ら自身のセールスフォースを最も使っている組織でその実績が出てきるため、提案やインプリ・サクセスにおいて説得力が段違いです。,2-10,チーム セリングを行っていくためには、どうしても時間軸と空間軸を跨いで情報を貯めていき・活用できるツールを入れていく必要がありましたが、結局いろんな方にヒアリングをしても、サービスベンダーから話を聞いてもセールスフォース以外の選択は考えられませんでした。高度なカスタマイズ性により業態を選ばずデータを利活用できる点と、一方でカスタマイズをしないスタンダードな使い方でも十二分に効果を発揮できる点は、スタートアップで事業と組織が急拡大する会社において非常に重宝しています。導入したばかりなので明確な効果は出ていませんが、必ず効果は出ると思います。,4.0,5.0,5.0,5.0,5.0
187,会社からの業務受注がしやすい！,using,Food and Leisure Service,2020-10-11,5,社員との個別のやり取りを要する業務依頼について、これを介して会社の持っている情報にアクセスができ、個別に依頼したい業務についても過去の案件を踏まえて確認ができ、また自分の業務を他の社員も確認することができる。出社無しでのやり取りが主となる上では必須のアプリ。,>101-200,会社の管理する情報へのアクセスを個別の社用携帯から可能な点。シフト管理もできる為、シフトの希望を出すのも確認するのも容易い。,3.0,5.0,5.0,5.0,4.0
188,要望がなかなか実現されない,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-10,3,クラウドでの顧客管理システム(CRM)の最大手。新機能はどんどん追加されるが、既存機能で使い勝手が悪い部分は改善されないまま、対して難しくなさそうに思える改修のについて、ユーザーからの声が上がっていても、放置されたままのことも多い。たとえば、複数選択リストの扱いづらさや複数選択リストを扱える関数の少なさ、レポート上での一括レコード編集、コミュニティユーザーはレポートのクロス条件が反映されない等,>11-30,Web上にSalesforce上のデータを表示させることで、これまでその都度エクスポートしてWebに掲載するというような作業がなくなった。,3.0,4.0,4.0,4.0,5.0
189,営業初心者の自分も安心してスタートダッシュを切れました。,currently not using,Consulting Service,2020-10-10,5,今年の5月から、5ヶ月間という短期間のみセールスを命じられた自分。営業のイロハも分からない中、Salesforce上のUIやUXによってセールスフローも感覚的に理解ができ、管理の手間で工数をかけることもなく営業に集中できました。,>1000,営業初心者で手のかかるのは、「顧客情報管理」が大きいかと思います。その管理に手間をかけるのではなく、本来割くべき顧客との時間に注力できたことは本当に大きかった。,5.0,5.0,5.0,5.0,5.0
190,顧客管理、商談進捗管理、請求処理の確認には使えるが....,using,IT related Service,2020-10-08,4,商談の進捗共有や管理をメインに使っている。ほかにも請求タイミングの確認などにも活用している。しかし、セミナーなどを行った際のリード取り込みや、他のクラウドサービスとの連携インターフェースが解かりづらく、使いずらい印象がある。拡張性が低いので、4点。,>101-200,このサービスを他部署から推薦されて使いだした際には、商談をエクセルで管理しており編集などに誤謬が多かったが、これを導入して以降は上長との案件進捗共有は容易となった。,4.0,4.0,3.0,3.0,5.0
191,案件管理の履歴確認が簡単。,using,IT related Service,2020-10-08,4,他社ツール（Office365、コールセンター管理ツール）と連携しても支障なく使え、案件履歴の遡りや、レポート作成、document共有なども問題なく行えて満足しています。ただ過去一度、SFDCアカウント同時のデータ移行を行った際に2バイトの文字がすべて文字化けしデータがほぼ消失したのが残念です。,>1,支社が複数あり、案件処理にローカルルールもある環境ですが、ほぼ統一したルールで顧客データ管理が行えていると思います。,5.0,5.0,5.0,5.0,4.0
192,契約締結スピードが短縮,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-07,4,フリーランスとして活動していく中で、クライアントの方との契約する際のスピードが今までかかっていた時間に比べて断トツに上がりました。スマホで即日確認でき締結いただけるようになりました。,2-10,クライアントとの契約のスピードがスムーズで速くできるようになりました。スマホでも対応ができるので、皆さんからのレスポンスがとても速くなりました。,4.0,4.0,4.0,4.0,4.0
193,Salesforceを活用したタスク管理と企業情報の蓄積,using,Food and Leisure Service,2020-10-07,4,使い始めは慣れるまで大変でしたが、慣れてくるとダッシュボードで自分が欲しい情報をカスタマイズして可視化することができ、一目でチームメンバーの健康状態が分かるようになりました。特にKPI管理はしやすく、訪問数や進捗の状況をExcelで管理していたものから、Salesforceに置き換えることで、俗人化が防げるメリットもあります。,2-10,"メンバー個々人でExcel管理で顧客リストや、売上げ予測などを立てていましたが、一元化することができ、管理職からはアドバイスがしやすくなりました。
リアルタイムの進捗状況も把握することが出来るため、必要なことを必要なタイミングで行うことで機会損失も防ぐことが出来ていると思います。",4.0,5.0,4.0,4.0,5.0
194,営業利益が一目でわかる。,using,Food and Leisure Service,2020-10-07,4,"商談名やスタッフ一人一人の時給などを入れることで、支店全体の営業利益や営業担当の営業利益すぐに確認することができます。
また、本社では各支店の営業利益を把握しやすいシステムです。",>51-100,Excel等に自分で計算して数字を今まで出していたため、実際の数字と誤差が生じてしまうことが多々ありました。こちらのサービスを導入して誤差がなくなり、きちんと数字の管理ができています。,4.0,4.0,4.0,4.0,4.0
195,営業のサポート体制の充実が素晴らしいです！,using,IT related Service,2020-10-06,5,ソフトウェアの機能の充実度は当然のことながら、機能を使いこなすための営業マンのサポート体制が素晴らしいです。システムの設定ならサポート窓口に確認すればわかるが、設計するためのノウハウを世界No.1SaaS企業から得られるのは金額以上の価値があります。,>11-30,営業プロセスの見える化ができていなかったですが、Salesforceを導入し、仕組化し、運用オペレーションを整備することで実態が見えるようになりました。,5.0,5.0,5.0,3.0,5.0
196,ダッシュボード設定とメンバー記入が関門,currently not using,IT related Service,2020-10-05,3,"多機能でできることは多々ありそう。
ただベースとして関わるメンバーがSalesforce上に情報を残す、日常的に使うことがまずは最初の関門であり実は一番重要なこと。
その上でセールス観点だとダッシュボードをで俯瞰データの可視化が必要だが、慣れるまではダッシュボード設定もひとハードル。",>11-30,地道なメンバーへの必要性の説明 / もくもく会と称して、個人で入力させるではなくチームで意識的に記入する時間をもうけた,3.0,3.0,4.0,4.0,4.0
197,現場の情報がすぐにわかる,using,Consulting Service,2020-10-04,4,"時間をかけて収集しているセールス情報がノータイムで収集できる。
デザイン的にも直感的にわかりやすく、そのまま営業資料として使用できる点もとてもよいと感じています。",2-10,"これまで営業情報を、中間業者に依頼してエクセルで収集していました。
今は現地販社が入力したデータが即時送付されるので簡単になりました。",4.0,4.0,5.0,4.0,4.0
198,現地の営業情報がそのまま収集できる,using,Consulting Service,2020-10-04,5,"現場の営業情報がすぐに収集できるようになり、たいへん便利なツールで重宝しています。
それにより、中間業者も不要になり、結果的に費用も削減することができるようになりました。",2-10,"エクセルやPPTで作成して毎月の手間となっていた営業資料が、
今ではすぐに正確にデータ収集して作成することができるようになりました。",3.0,5.0,3.0,4.0,3.0
199,顧客管理最強ツール,using,Retail/distribution/trading companies,2020-10-04,5,"顧客のデータが一つのツールで全て管理ができる。ルート営業職は、担当者も定期的に変わるため、一つのツールで管理できる方がとても効率的だと考えます。
また、どんなイベントに参加したかも分かる。",>1,顧客にアプローチする際に、色々な情報があった方が、地雷を踏まない。また、拡張性が高く、デイリーの売り上げや、値引き申請などいろいろなタブを付け足すことごできる。,5.0,5.0,5.0,5.0,5.0
200,本社、支店で新規開拓ターゲットへのアプローチの共有がしやすい,currently not using,Real Estate/Construction/Equipment,2020-10-03,5,"有料で使っているか、無料で使っているかどうか、私の立場ではわかりませんでしたが、１ユーザーとしては非常に使いやすかったです。
いつ何を入力したかという記録もしっかり残るので、打ち込むデータの重複も防げてよかったと思います。",2-10,"私は飛び込み営業マンで、本社のコールセンターに見つけたターゲットにテレアポを取ってもらうために、セールスフォースを使っていました。
フォーマットも用意されていたので、私はそこにターゲットの情報を入力するだけで、本社のコールセンターに共有されます。新規契約の取得にも多いに繋がりました。",5.0,5.0,5.0,4.0,5.0
201,営業活動に必須のツール,currently not using,IT related Service,2020-10-03,4,"カスタマイズの自由度が高く、顧客管理から新規開拓の情報管理、マーケティングツールとしても使用できる。
Salesforceがないと営業活動が成り立たない。

ただし、Salesforceを専任で管理する人がいないと運用は難しい。
データの整理、抽出などは高度なスキルが必要なので、他社ではSalesforceを導入しているものの全く機能していないという話も聞く。",>31-50,多数のセールスから同一のお客様に無作為に連絡することが減り、情報管理が容易になった。また、過去の営業記録を残せるようになり、情報の蓄積や引き継ぎも出来るようになった。,4.0,5.0,5.0,5.0,5.0
202,情報管理ができるのは便利。ただ使いこなすには時間かかる。,using,IT related Service,2020-10-01,4,"色々と連携をしたり、見れることも多いので使う前と比べてリード情報・アポイント情報などをきちんと保存できるようになったのはとてもいいと思っています。
ただ、構築を自社で行ったためかなりなかなか大変だったのと、構築に関しては誰でもすぐに使いこなせるものではないと思うので4点です。",>11-30,"獲得したリード、経路、そこからの案件化率、アポイントの内容などが一元で管理できるようになりました。
以前はスプレッドシートで管理をしていたため計算が大変だったのと、アポイントの内容に関しても個別での管理になっていたのでこの段階で整理できてよかったです。",3.0,4.0,4.0,5.0,5.0
203,状況に応じてカスタマイズが可能,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-01,3,色々な用途に合わせて管理することが可能なのでプロジェクトなどの管理がすごくしやすい。顧客の管理をビジネスに合わせてカスタマイズすることも可能なので使いやすいので、特定に活用することが可能。,2-10,クライアントの情報収集を集約することに活用できるので、情報の共有が簡単にすることができる。場所に関わらずどこからでも入力することが可能なので、移動中でも可能なため無駄な時間を使わずに済む。,3.0,3.0,3.0,3.0,3.0
204,理解するまでが大変,using,IT related Service,2020-09-25,3,基幹システムからの移行でSalesforceを導入しましたが、基幹システムをSFAツールに置き換える事を念頭に構築してしまったので、SFAツールとして建て直すのがかなり大変でした。,>11-30,自社の商材の特性は理解しつつも自身の営業がプロセス管理されておらず、なんとなく見積を出し、なんとなく closingしていたという状況からプロセス管理を意識させ、重要性を認識させ、これやったら次これという流れがなんとなく出来たかなぁというところです。,2.0,3.0,5.0,5.0,5.0
205,タスク管理が明確に！,using,IT related Service,2020-09-24,5,"Case作成し、そのCaseからTaskを作成できるので、
タスク管理と自分がどの段階にいるのかが明確になるので、大変満足しております。
タスクを分解したり、チームメイトに自分がどのタスクをこなしているのか、一目瞭然は素敵なサービスです。",>1,"社内でのやり取りのエビデンス残しがとてもやりやすくなりました。
CASEを作り１つの話題で、どんどん話が進められるので、ログを追いやすくなったり、探しやすくなりました。",3.0,4.0,3.0,3.0,4.0
206,顧客の接点情報の管理に便利なツール,using,IT related Service,2020-09-22,4,インターフェースはいたってシンプル。テキストベースの情報管理ツール。レポート機能で時系列にデータを並び替えたり、グラフを入れたりして表現できるところは、視覚的に分かり易い。また、クラウドベースでありながら、安定性は良いと感じます。,>1000,営業の仕事をしていて、顧客を以前の担当者から引き継いだ際、過去の接点を確認したいことがあります。このセールスフォースでは、顧客ごとの接点情報を時系列に管理・確認できるため、新規の商品の提案を行う際、非常に役に立ってます。,4.0,4.0,4.0,4.0,5.0
208,営業に必要な機能を網羅したツール,currently not using,IT related Service,2020-09-19,4,中途が多い会社だったが、Salesforceを利用している会社が多いため「前職で使っていた」など、引継ぎの際に苦労することが少なかった。また機能が多く、「こんなことできないかな」と調べるとたいていのことができる。,>1,中途入社の引継ぎがスムーズに行われた（前職でも使っていたという人が多かった）。また、Salesforceへの入力さえすれば様々な切り口で資料の出力ができた,4.0,3.0,4.0,3.0,5.0
209,全国支店と本社間の販売管理に便利,using,Manufacturer/manufacturing system,2020-09-17,4,"迅速な機能改善の繰り返しでユーザー部門でも使いやすいシステムに熟成されてきている。
ベンダーの適切な支援を受けて、情報システム部門にとっても最適なアウトソースができている。
利用ユーザーの意見を取り入れて、今後も長く使えるシステムPlatformとして
サービス提供して頂きたい。",2-10,"四半期ごとの在庫棚卸し、また、期末の在庫調整もデータエクスポート、インポート機能により
工数を削減できている。
倉庫業者とも連携した運用が実現できている。",4.0,5.0,4.0,4.0,5.0
210,営業活動の可視化、データ化を実現,using,Food and Leisure Service,2020-09-15,4,営業活動のデータをすべてsalescloudに統一させることで全社の営業活動データを一元管理できるようになった。Pardot他、各ツールとの連携もでき導入前より効率的な営業活動が行えるようになった。,>101-200,導入前はエクセルで管理していた活動管理をすべてsalescloudに一元管理することで、全社での動きが見えやすくなった。,4.0,5.0,4.0,4.0,4.0
211,導入責任者とSFコンサルタントの両輪で現場データ入力徹底が鍵,using,Mass Media/Advertising/Design/Game/Entertainment,2020-09-15,4,"導入してから3ヶ月は、全く現場導入が進まなかった。
これは、現場がデータ入力するメリットや経営陣の意思決定上、重要であることの伝達がうまくできていなかった。

しかし、導入3ヶ月後にSFコンサルタントを短期間業務委託で入れたことによって
データ入力設計の見直し・ダッシュボードの設計・作成の精度が高まりました。
結果、データを入力徹底してもらうと、このようにデータを可視化できるとイメージを共有できた",>11-30,"セールスパイプライン（ランク別のヨミ管理）を可視化することで、全体の目標達成進捗度合いと誰をサポートするべきか一目瞭然。
また、経営視点では、MRR、CharnrateなどのSaaS重要指標を一元可視化できるので、大きな意思決定を高速で回していける。",5.0,5.0,4.0,4.0,5.0
212,リード案件を管理しやすい,using,IT related Service,2020-09-14,4,操作性及び進行中のタスク管理がしやすいです。またセールス面のアウトバウンドの局面ではリード案件の管理なども会社単位で使いやすいようにカスタマイズすることが可能であるため、非常に使いやすいです。,2-10,"課題：案件管理の質（漏れ等）
効果・メリット：
セールスジニ基本的に利用しますが、アウトバウンドなどのリード案件の管理などを項目別やランク等でカスタマイズすることが可能であるため、非常に使いやすいです。",4.0,4.0,5.0,4.0,5.0
213,営業活動での案件管理・進捗管理が見える化した,using,IT related Service,2020-09-12,5,今までスプレットシートで案件管理をしており、案件の進捗管理が属人化していたが、salesforceを利用することで解像度が上がり、進捗状況がチームメンバー全員で見える化できるようになった。,>11-30,月間の営業活動数、アポ数、商談化数、契約数のどこに課題があるかわからなかったが、salesforceを利用することで見える化し、課題となっているKPIにピンポイントで改善実行案をぶつけることができた。,3.0,5.0,4.0,4.0,5.0
214,顧客管理について一つの顧客の情報が一眼で見れること,using,Retail/distribution/trading companies,2020-09-12,4,顧客管理についてまとめられているため、ひとめで多くの情報がわかりお客様へ大してなにを提案すればいいのか、お客様の環境はどうなっているのかなどについてわかりやすいため、４評価とさせていただきました。,>1000,複数のサイトをりようしてそれぞれ確認しないといけない状況がSalesforceの導入でひとつのサイトにて確認することが出きるため、作業効率があがりました。,4.0,3.0,5.0,4.0,3.0
215,営業管理ツールとして十分な機能があります！,using,Manufacturer/manufacturing system,2020-09-10,5,営業管理ツールとして充実した機能があり、これまで営業管理をアナログで行っていた企業や営業日報をアナログ管理していた企業は導入すべきだと思う。顧客情報ごとに営業内容をさかのぼったり、営業担当ごとにさかのぼることもできのはとても便利。,>201-300,営業日報をアナログで管理していたため、外出先から急遽以前の営業内容を振り返ることができなかったが、セールスフォースを導入してからはいつでも確認ができ、商談の流れに無駄がなくなった。,5.0,5.0,5.0,5.0,4.0
216,設定の進め方とリソースの確保が必須,using,IT related Service,2020-09-10,3,"設定は非常に柔軟。
その分、どこまでやるかをしっかりと見極めて設定していかないと泥沼になります。
また、類似サービスより設定が複雑なのでSalesforceの設定経験者がいない場合はそれなりにリソースがかかることを覚悟した方がいいと思います。",2-10,"マネージメント層視点での営業進捗の見える化が課題だったので導入しました。
課題は解決できていますが、メンバーへの定着や最適化でまだまだ時間がかかりそうです。",1.0,3.0,4.0,3.0,2.0
217,新規開拓リストが作りやすい,using,Mass Media/Advertising/Design/Game/Entertainment,2020-09-10,4,営業としては、新規開拓リストの作成や企業へのアクション管理が容易にできてよかったです。企業情報や接触履歴をより詳しく表示できたらもっと管理がしやすくなると思います。,>1000,以前は企業探しに手間をかけていましたが、自分が営業したい企業ステータス、例えば業種、売上、従業員人数などの企業リストを作成し、保存できるのでテレアポリストが簡単に作成できるようになりました。,4.0,4.0,4.0,4.0,4.0
218,提案ステータスの可視化による営業の全体管理と効率化を実現,using,IT related Service,2020-09-10,4,"営業先の担当者情報や、提案内容の記録と共有を実現できます。
また、営業中の案件のフェーズをカンバンで一覧化し可視化することで、売り上げの見込みや受注数などの数値管理ができる点が便利です。",>11-30,"社内の営業チームにおいて、月ごとに提案中の企業がどれくらいあり、またその提案がどのフェーズまで進んでいるのかを全体把握できるようになった。
表計算ソフトを使った情報管理から抜け出すことができた。",2.0,4.0,4.0,4.0,5.0
219,非常に使いやすかったです,currently not using,Consulting Service,2020-09-10,4,顧客の管理には最適なツールだったと思います。導入後営業メンバーだけではなかなか活用が出来ず、運用担当者を設置してからは部署内での活用がどんどん出来るようになりました。今は会社の都合で解約してしまいましたが、出来ることならもう一度使用したいです。,>101-200,顧客リストを個別で管理していたため毎日のようにトラブル発生していたのですが、導入後は解決されました。,3.0,4.0,5.0,4.0,4.0
220,営業活動の分析に不可欠な、世界NO.1のSFA,using,IT related Service,2020-09-10,5,世界中のSFAの基準となっているツールで、導入社数もNo.1であることから、このツールを使いこなせることがビジネススキルの基礎の一つとなっていると感じます。一定以上の分析にはユーザーの知識に依存する点もございますが、基礎的な分析は簡単に習得することが可能です。,>51-100,"営業の活動における結果・要因の分析を、社内で可視化することが可能です。
営業活動の属人化リスクに対し、顧客とのつながりの蓄積・結果につながる要因の分析・共有を容易に図ることができます。",4.0,5.0,5.0,4.0,4.0
221,カスタマイズが柔軟,using,IT related Service,2020-09-10,5,画面カスタマイズも簡単で、データ集計もしやすい。レポートやグラフをどう表現するか、どう言う数字を集計してそれをどう活かすかと言うことを決めたら、salesforceでほとんど実現可能。,301-500,案件の共有、営業活動状況の見える化、データの集計、データを見える化することによる意思決定に役立つなど、便利な点が非常に多い。,5.0,5.0,5.0,5.0,5.0
222,売上を管理する際に便利なツールです,currently not using,IT related Service,2020-09-10,3,営業をしているときに利用していました。このツールを利用する前は、Excelで数値管理をしており、日々数値のヨミを計測していました。しかしながら、Excelだと数値のヨミが属人的になり、人によって数値のヨミが甘いなど見極めが難しかったですが、このツールを導入してから数値予測を自動で行い、かつ、ある程度精度が担保されていました。,2-10,効果・メリットしては、営業各人があとどれだけ案件を獲得し、金額をプラスすれば、目標に達するかがひと目で分かるようになりました。それが最大のメリットでした。,3.0,5.0,3.0,5.0,3.0
223,顧客情報の管理や営業活動に欠かせないツール,using,IT related Service,2020-09-10,4,過去から現在までの取引先とのやり取りが可視化されているため、相手にどんなニーズや課題があるかを仮説立てて営業を行いやすい。また、自身やチームのKPI進捗をグラフ化して管理できるので進捗に対する改善をチーム全体で行いやすい。ただ、取引先や商談、リードなど箱の中で情報が区切られているため、レポートを作成する際に取り出したい情報が容易に出せない場合がある。,>31-50,レポートやダッシュボード作成によって新規営業や問い合わせへのアプローチ漏れを防ぐことで見込み顧客の取りこぼしや機会損失を防ぐことができた。,3.0,5.0,5.0,4.0,4.0
224,営業進捗管理・カスタマーサクセスの有用ツール,using,Medical,2020-09-10,4,営業の案件進捗管理ツールとしてはもちろんのこと、カスタマーサクセスの管理ツールとしても利用ができます。各会社の事業によって、進捗管理をおこないたい項目が異なりますが、それぞれ事情に合わせて設定が可能です。オペレーションの自動化も、「プロセスビルダー」という仕組みを使えば簡単にできるので、エンジニアがおらずとも簡単に機能実装ができることも特徴の1つです。,>11-30,リード管理、商談から成約までの案件管理を含めて、細かく設定ができます。個人の担当先として紐付けをしておくと、レポート形式で出力することもでき、後々の振り返りや数字管理などに活用できます。,4.0,4.0,4.0,4.0,4.0
225,商談管理が楽になる,currently not using,IT related Service,2020-09-10,5,"商談管理、リード管理、名刺管理、セミナー情報、取引先などが一元管理でき、エクセルから脱着できた。
特に、他の営業部門のクロスセルに効果があった。
使いやすく今後の新機追加などが楽しみである。",>11-30,"複数部署横断の商談が可視化され、クロスセル、アップセルが行いやすくなり、売り上げ向上に繋がった。
会社の文化情勢の観点でも、商談ログを残すなど変化があった。",5.0,5.0,5.0,5.0,5.0
226,リード管理やセールスの進捗を可視化することができた,using,Consulting Service,2020-09-10,5,"使いこなすには時間がかかるが、リード管理やセールスの進捗を可視化することができました。
私はマーケティングの部署ですが、どのリードソースから入ったきたリードが案件化率が高いのか、
セールスの受注率が高いのかを細かく可視化することができました。",2-10,"今まではスプレッドシートをつかってリードや案件の管理を進めていました。
しかしsalescloundを使うことで細かい分析を進めることができました。",5.0,5.0,5.0,5.0,5.0
227,ユーザーインターフェースの自由度,using,Manufacturer/manufacturing system,2020-09-10,4,"大変自由度の高いサービスであり、書籍等からも様々な方法や表現ができる等確認して感心しております。
ただ、サービス利用料がしっかりかかるシステムであり、全くの素人が取り付きにくいところから
1点引かせていただきました。",>31-50,"コールセンターの利用に大変マッチしております。
お客様の対応精度が増したのと同時に、見た目からわかりやすく、従業員も
ストレスなく利用させていただいています。",4.0,3.0,4.0,4.0,4.0
228,あらゆるデータを可視化するセールスアナリティクス,using,IT related Service,2020-09-10,4,"レポート・ダッシュボード作成は細かな部分までデータ成型が可能なため、分析という観点では助かることが多い。
ただしMAツール（Pardot）との連携やカスタマイズは難しいと感じることもある。

出来ることが多い分、結構なれが必要です。",>101-200,"月次・日次の行動データの管理やセールスMTG資料作成。ダッシュボードを作ってデータ蓄積されれば、ヨミ会前のエクセル入力や印刷は不要になるためかなり楽です。マネージャー会議などもありますが、そこでも資料作成の手間が省けます。
（ダッシュボードレポートはエクセルでいうピボットのイメージです）

また、インサイドセールスなどは日々データを見ながら確率の高いチャネル・行動の洗い出しをするためPDCAを回す観点でも非常にメリットはあると思います。",3.0,4.0,4.0,4.0,4.0
