,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
201,A must-have tool for sales activities,currently not using,IT related Service,2020-10-03,4,"It is highly customizable and can be used for customer management, information management for new development, and as a marketing tool.
Without Salesforce, sales activities would not be possible.

However, it is difficult to operate without a dedicated person to manage Salesforce.
Since organizing and extracting data requires advanced skills, I hear that other companies have introduced Salesforce, but it is not working at all.",>31-50,"Random contact with the same customer from multiple sales has decreased, making information management easier. In addition, it became possible to keep past sales records, and it became possible to accumulate and hand over information.",4.0,5.0,5.0,5.0,5.0
202,Easy to manage information. It just takes time to get used to.,using,IT related Service,2020-10-01,4,"There are many things that can be linked and viewed, so I think it's very good to be able to save lead information and appointment information properly compared to before using it.
However, since it was built in-house, it was quite difficult, and I don't think anyone can use it immediately, so I gave it 4 points.",>11-30,"It is now possible to centrally manage the acquired leads, routes, the rate of conversion from them, the content of appointments, etc.
In the past, it was difficult to calculate because I used to manage it with a spreadsheet, and the content of the appointment was also managed individually, so I'm glad I was able to organize it at this stage.",3.0,4.0,4.0,5.0,5.0
203,Customizable according to the situation,using,Mass Media/Advertising/Design/Game/Entertainment,2020-10-01,3,"It is very easy to manage projects etc. because it can be managed according to various purposes. It is easy to use because it is possible to customize customer management according to the business, so it can be used for specific purposes.",2-10,"Since it can be used to aggregate client information collection, information sharing can be simplified. Since it is possible to input from anywhere regardless of the location, it is possible to do it even while moving, so you do not waste time.",3.0,3.0,3.0,3.0,3.0
204,hard to understand,using,IT related Service,2020-09-25,3,"We introduced Salesforce as part of the transition from our core system, but we built it with the intention of replacing it with an SFA tool, so it was quite difficult to rebuild it as an SFA tool.",>11-30,"Even though I understand the characteristics of my company's products, my own sales process is not under process management. Next, I wonder if this flow was somehow possible.",2.0,3.0,5.0,5.0,5.0
205,Clear task management!,using,IT related Service,2020-09-24,5,"You can create a case and create a task from that case,
I am very satisfied with the task management and clarity of where I am.
It's a nice service to break down tasks and let teammates know what tasks you're working on.",>1,"It has become very easy to leave evidence of interactions within the company.
By creating a CASE and talking about one topic, it became easier to follow the logs and find them.",3.0,4.0,3.0,3.0,4.0
206,A convenient tool for managing customer contact information,using,IT related Service,2020-09-22,4,"The interface is very simple. A text-based information management tool. It is visually easy to understand that the report function can be expressed by sorting data in chronological order and inserting graphs. Also, despite being cloud-based, I feel that the stability is good.",>1000,"When working in sales and taking over a customer from the previous person in charge, there are times when I want to check past contact points. With this sales force, you can manage and check contact information for each customer in chronological order, so it is extremely useful when proposing new products.",4.0,4.0,4.0,4.0,5.0
208,A tool that covers all the functions necessary for sales,currently not using,IT related Service,2020-09-19,4,"It was a company with many mid-career workers, but since many companies use Salesforce, there were few difficulties when handing over, such as ""I used it at my previous job."" In addition, there are many functions, and you can do most things by searching ""I wonder if this can be done"".",>1,"The handover process for mid-career hires went smoothly (many people said they used it at their previous jobs). In addition, I was able to output materials in various ways just by inputting to Salesforce.",4.0,3.0,4.0,3.0,5.0
209,Convenient for sales management between nationwide branches and headquarters,using,Manufacturer/manufacturing system,2020-09-17,4,"It has matured into a system that is easy to use even in the user department by repeating rapid function improvements.
With the appropriate support from the vendor, optimal outsourcing has been achieved for the information system department as well.
Incorporating the opinions of users, as a system platform that can be used for a long time in the future
I would like to offer you a service.",2-10,"Quarterly inventory inventory and inventory adjustments at the end of the period can be performed using the data export and import functions.
Man-hours have been reduced.
Operation in cooperation with warehouse operators has been realized.",4.0,5.0,4.0,4.0,5.0
210,Realization of visualization and data conversion of sales activities,using,Food and Leisure Service,2020-09-15,4,"By unifying all sales activity data on salescloud, it became possible to centrally manage sales activity data for the entire company. Linking with Pardot and other tools has made it possible to conduct more efficient sales activities than before the introduction.",>101-200,"By centrally managing all activity management in salescloud, which was managed in Excel before the introduction, it became easier to see the movement of the whole company.",4.0,5.0,4.0,4.0,4.0
211,Thorough on-site data input is the key for both the person in charge of introduction and the SF consultant,using,Mass Media/Advertising/Design/Game/Entertainment,2020-09-15,4,"Three months after the introduction, there was no progress on-site introduction.
This was due to poor communication of the merits of data entry on site and the importance of it in terms of management's decision-making.

However, 3 months after the introduction, we hired an SF consultant for a short period of time.
The data input design has been reviewed, and the accuracy of dashboard design and creation has been improved.
As a result, we were able to share the image that we could visualize the data in this way if we had the data entered thoroughly.",>11-30,"By visualizing the sales pipeline (yomi management by rank), you can see at a glance the degree of progress toward achieving overall goals and who should be supported.
In addition, from a management perspective, important SaaS indicators such as MRR and Charnrate can be centrally visualized, so large decisions can be made at high speed.",5.0,5.0,4.0,4.0,5.0
212,Easy to manage lead projects,using,IT related Service,2020-09-14,4,"Easy to operate and manage ongoing tasks. In addition, in the outbound phase of sales, it is very easy to use because it is possible to customize the management of lead projects on a company-by-company basis.",2-10,"Issue: Quality of project management (omissions, etc.)
Effects/Benefits:
Although it is basically used, it is very easy to use because it is possible to customize the management of lead projects such as outbound by item and rank.",4.0,4.0,5.0,4.0,5.0
213,Visualization of project management and progress management in sales activities,using,IT related Service,2020-09-12,5,"Up until now, we had been managing projects using spreadsheets, and project progress management was dependent on individual skills.",>11-30,"I didn't know where the problem was in the number of monthly sales activities, appointments, business negotiations, and contracts, but by using salesforce, I was able to visualize it and pinpoint the KPI that was the problem and hit the improvement execution plan. I was able to",3.0,5.0,4.0,4.0,5.0
214,"Regarding customer management, one customer's information can be seen at a glance",using,Retail/distribution/trading companies,2020-09-12,4,"Since the customer management is summarized, a lot of information can be understood at a glance, and it is easy to understand what to propose to the customer, what is the customer's environment, etc., so I gave it a 4 evaluation. .",>1000,"With the introduction of Salesforce, I was able to check the situation on one site, which made it possible to check the situation in which I had to use multiple sites and check each one, which improved work efficiency.",4.0,3.0,5.0,4.0,3.0
215,It has enough functions as a sales management tool!,using,Manufacturer/manufacturing system,2020-09-10,5,"It has a full range of functions as a sales management tool, and I think it should be introduced by companies that have been managing sales in analog form and companies that have been managing daily sales reports in analog form. It is very convenient to be able to trace back the sales details for each customer information and also trace back for each sales representative.",>201-300,"Since the daily sales report was managed in analog form, it was not possible to quickly look back on the previous sales details from outside.",5.0,5.0,5.0,5.0,4.0
216,How to proceed with setting and securing resources are essential,using,IT related Service,2020-09-10,3,"Very flexible settings.
For that reason, it will be a quagmire if you do not firmly ascertain how far you will do it and set it.
Also, the settings are more complicated than similar services, so if you don't have experience setting up Salesforce, you should be prepared to spend a lot of resources.",2-10,"We introduced it because it was an issue to visualize the progress of sales from the perspective of management.
The problem has been solved, but it seems that it will take more time for the members to settle down and optimize it.",1.0,3.0,4.0,3.0,2.0
217,Easy to create a new development list,using,Mass Media/Advertising/Design/Game/Entertainment,2020-09-10,4,"As a sales person, I was glad that it was easy to create a new development list and manage actions for companies. I think it would be easier to manage if company information and contact history can be displayed in more detail.",>1000,"Previously, it took time and effort to find companies, but now you can create and save a list of companies with the status of the company you want to open, such as industry, sales, number of employees, etc., so you can easily create a teleapo list. rice field.",4.0,4.0,4.0,4.0,4.0
218,Realize overall management and efficiency of sales by visualizing proposal status,using,IT related Service,2020-09-10,4,"You can record and share the information of the person in charge of the sales destination and the content of the proposal.
In addition, it is convenient to manage numerical values ​​such as sales prospects and number of orders by listing and visualizing the phases of projects in business with Kanban.",>11-30,"The in-house sales team now has an overall grasp of how many companies are making proposals each month and to what stage the proposals have progressed.
I was able to escape from information management using spreadsheet software.",2.0,4.0,4.0,4.0,5.0
219,It was very easy to use,currently not using,Consulting Service,2020-09-10,4,"I think it was the best tool for customer management. After the introduction, it was difficult for the sales staff to use it alone, but after assigning a person in charge of operation, it became possible to use it more and more within the department. I have canceled it due to company reasons, but I would like to use it again if possible.",>101-200,"Since the customer list was managed individually, troubles occurred almost every day, but after the introduction, they were resolved.",3.0,4.0,5.0,4.0,4.0
220,The world's No. 1 SFA essential for analyzing sales activities,using,IT related Service,2020-09-10,5,"It is a tool that has become the standard for SFA around the world, and the number of companies that have introduced it is No. 1, so I feel that mastering this tool is one of the foundations of business skills. There are some points that depend on the user's knowledge for analysis above a certain level, but basic analysis can be easily learned.",>51-100,"It is possible to visualize the analysis of results and factors in sales activities within the company.
You can easily analyze and share the factors that lead to the accumulation and results of connections with customers against the risk of personalization in sales activities.",4.0,5.0,5.0,4.0,4.0
221,Flexible customization,using,IT related Service,2020-09-10,5,"Screen customization is easy, and data aggregation is easy. Once you have decided how to express your reports and graphs, what numbers to aggregate and how to use them, it is almost possible with salesforce.",301-500,"There are many useful points such as project sharing, visualization of sales activity status, data aggregation, and decision making by visualizing data.",5.0,5.0,5.0,5.0,5.0
222,A useful tool for managing sales,currently not using,IT related Service,2020-09-10,3,"I used it when I was working. Before using this tool, I used Excel to manage numerical values, and measured the readability of numerical values ​​on a daily basis. However, with Excel, the reading of numerical values ​​is dependent on the individual, and it was difficult to determine the reading of numerical values ​​depending on the person. It was done.",2-10,"In terms of effects and benefits, it became possible to see at a glance how many more projects each salesperson had to acquire and add the amount to reach the target. That was the biggest advantage.",3.0,5.0,3.0,5.0,3.0
223,An indispensable tool for managing customer information and sales activities,using,IT related Service,2020-09-10,4,"Since the past and present interactions with business partners are visualized, it is easy to hypothesize what needs and issues the other party has and conduct sales. In addition, since the KPI progress of oneself and the team can be graphed and managed, it is easy for the entire team to make improvements to the progress. However, since information such as business partners, business negotiations, and leads is separated in boxes, it may not be possible to easily extract the information you want to extract when creating a report.",>31-50,"By creating reports and dashboards, we were able to prevent missing prospective customers and opportunity loss by preventing new sales and inquiries from being approached.",3.0,5.0,5.0,4.0,4.0
224,Useful tools for sales progress management and customer success,using,Medical,2020-09-10,4,"It can be used not only as a sales project progress management tool, but also as a customer success management tool. Depending on the business of each company, the items that you want to manage progress will differ, but you can set them according to the circumstances. Automating operations can also be done easily by using a mechanism called ""Process Builder"", so one of the features is that functions can be easily implemented without an engineer.",>11-30,"You can make detailed settings, including lead management and project management from negotiations to contracts. By linking the person in charge, you can output it in a report format, which can be used for future review and numerical management.",4.0,4.0,4.0,4.0,4.0
225,Deal management made easy,currently not using,IT related Service,2020-09-10,5,"Business negotiation management, lead management, business card management, seminar information, business partners, etc. can be centrally managed and removed from Excel.
In particular, it was effective in cross-selling other sales departments.
It is easy to use and I am looking forward to adding new models in the future.",>11-30,"Business negotiations across multiple departments were visualized, making it easier to cross-sell and up-sell, leading to increased sales.
From the perspective of the company's cultural situation, there were changes such as keeping business negotiation logs.",5.0,5.0,5.0,5.0,5.0
226,I was able to visualize the progress of lead management and sales,using,Consulting Service,2020-09-10,5,"It takes time to master it, but I was able to visualize the progress of lead management and sales.
I am in the marketing department.
We were able to visualize in detail whether the sales order rate was high.",2-10,"Until now, we used spreadsheets to manage leads and deals.
However, by using salesclound, we were able to proceed with detailed analysis.",5.0,5.0,5.0,5.0,5.0
227,Freedom of user interface,using,Manufacturer/manufacturing system,2020-09-10,4,"It is a service with a high degree of freedom, and I am impressed by confirming that various methods and expressions can be used from books and other sources.
However, it is a system that requires a service usage fee, and it is difficult for a complete amateur to get involved.
I deducted 1 point.",>31-50,"It is very suitable for call center use.
At the same time as the accuracy of customer response has increased, it is easy to understand from the appearance, and employees
You can use it without any stress.",4.0,3.0,4.0,4.0,4.0
228,Sales analytics to visualize all data,using,IT related Service,2020-09-10,4,"Creating reports and dashboards is often helpful from the perspective of analysis because it is possible to form data down to the smallest details.
However, I sometimes feel that it is difficult to link and customize with the MA tool (Pardot).

As much as I can do, I need a lot of familiarity.",>101-200,"Management of monthly and daily action data and creation of sales MTG materials. Creating a dashboard and accumulating data eliminates the need for Excel input and printing before the Yomikai, so it's pretty easy. There are also manager meetings, etc., but you can save the trouble of creating materials there as well.
(A dashboard report is an image of a pivot in Excel.)

In addition, I think there is a great advantage in terms of turning the PDCA cycle for inside sales, etc., because we look at the data on a daily basis and identify channels and behaviors that are highly probable.",3.0,4.0,4.0,4.0,4.0
229,Salesforce Customer Management,currently not using,IT related Service,2020-09-10,3,"I understand that there is a custom performance, but as a user, I felt that I could not fully utilize it.
I felt that the functional expandability of saas depends on usability such as design.",501-1000,"I'm not the one to make the payment, so I haven't made a specific decision, and I probably won't be able to make a decision to make the payment in the future.
Not particularly satisfied with problem solving",3.0,3.0,3.0,3.0,3.0
230,CRM with customized fields,currently not using,IT related Service,2020-09-10,3,"It has enough functions as a CRM. It was useful for pipeline management and confirmation of sales logs. However, you can't create LPs or create meeting links like you can in HubSpot.",301-500,"Easier to manage sales logs. In addition, it is now possible to manage the status of each company in the pipeline, reducing the chance of missing company approaches.",5.0,5.0,5.0,3.0,3.0
231,"If you have the energy to use it, you can organize it",using,IT related Service,2020-09-10,3,"It's nice to be able to put it into a pretty mechanism, but it takes a lot of resources to build and permeate the team. However, I thought it would be very worth doing because I could create a permanent sales system.",2-10,"Customer management is not done and it is individualized management, and if a person quits, the handover will not be done well, and the loss of sales opportunities can be left in visuals and texts, so it was also useful for handover.",3.0,4.0,5.0,3.0,4.0
232,A classic CRM tool,using,IT related Service,2020-09-10,5,"A sense of security with the world's No. 1 share and easy customization. I feel that it is easy to use because it is possible to consistently respond (support) from marketing, which can be expected to be expandable, to after-sales service.",>31-50,"As a sales management tool, it is a very good and indispensable tool. Using the dashboard etc., it can be used in various ways.",5.0,5.0,5.0,5.0,5.0
234,Centralized management of everything from lead management to business negotiations and the status of contracted customers,using,IT related Service,2020-09-10,5,"Initially, it was introduced as a CRM to accumulate customer information under contract, but after that, lead management and business negotiation management were also started, and all customer information from the prospect status to the contract period can be centrally managed.
Since the customer's situation is also the business situation, it became possible to grasp all the company's situations by introducing it.",>51-100,"Previously, the number of company members was small, so customer information was grasped by individuals, but as the number of customers increased, it became difficult to grasp.
The report has simplified the creation of materials for internal sharing and reporting, and it has become possible to analyze it.
By linking with CTI and MA, it has become possible to achieve the maximum effect with a small number of people.",4.0,5.0,5.0,4.0,5.0
236,Customer status management,using,IT related Service,2020-09-10,5,"Detailed management such as customer management, status management, phone content and email logs, and business negotiation status can be performed.
If you make it a dashboard and graph it, you can see the progress at a glance, and it's also good that you can customize it for your own use.",>51-100,"There are some easy-to-understand parts of managing with spreadsheets and Excel,
It is troublesome to fill in and create what kind of conversation you had with the customer and customize it with a graph.
Salesforce can do this easily.",4.0,5.0,5.0,5.0,4.0
237,Overall optimization of sales activities is possible,using,IT related Service,2020-09-10,5,"In addition to being intuitive to use, it is also highly customizable.
It is also safe in terms of security.
Regarding account management when new employees join, it can be used without any inconvenience, and training programs such as trailhead are also available.",301-500,"Originally, it was managed using Excel and a spreadsheet, but felt the limitations of phase management and customer management of business negotiations, and decided to introduce it.

After the introduction, the above problem was solved.",5.0,5.0,5.0,4.0,4.0
238,Easy-to-use CRM,using,IT related Service,2020-09-10,4,"It has all the necessary functions for CRM such as customer management, phase management, calendar and chat functions. I gave it a 4 because it's a bit difficult to use the app's UI if the mentions in the chat function are written in kanji.",>11-30,"Until now, information about customers was scattered and lacking, but we were able to centrally manage it with Sales Cloud.",4.0,5.0,4.0,4.0,5.0
239,Customizable,using,IT related Service,2020-09-10,4,"It can be customized according to the purpose of use. In my case, the customer is using it and I am in a position to manage the account, but I can customize it for each customer and it is easy to make suggestions.",>31-50,"The status management of each customer has become smoother, and the reporting work has also been greatly improved. Wider range of proposals.",5.0,4.0,5.0,4.0,5.0
240,Project management,using,IT related Service,2020-09-10,4,"It was introduced to improve the efficiency of project management.
Until now, we used Excel to manage projects and report details on a regular basis, but after introducing Salesforce, this effort has been eliminated.
You can now manage projects just by registering with Salesforce.",>1,"Project management that used to be done in Excel can now be done easily on the web.
Eliminated the need for meetings and streamlined operations.",4.0,4.0,5.0,5.0,4.0
241,Task management and handover all in one. The dashboard is difficult to use.,using,IT related Service,2020-09-10,4,"Task management and case handover can be done with this one, so it has become easier. However, work such as creating graphs that can be easily done with Excel takes a lot of time, and corrections are difficult. I would be happy if the reporting function and the Dashboard were more useful.",>1,"It was a tool that I had been using since I joined the company, so I wasn't involved in its introduction. At first, I didn't use most of the functions. After using this tool for task management and customer management, manual work has decreased.",2.0,4.0,2.0,3.0,4.0
242,Visualize your work and create reports that serve as criteria for judgment,using,IT related Service,2020-09-10,4,"Reports and dashboards are the strongest. Data processing speed not found in other cloud-based databases and aggregation from all angles are possible. There are other tools that can input sales information, but there are few other tools that can output in this way.",>201-300,"The team is now able to make precise sales forecasts. Because it is possible to design flexibly, it is now possible to check the progress as a whole by establishing usage rules and operating it.",5.0,5.0,5.0,5.0,5.0
243,"As expected, the world's No. 1 SFA",using,IT related Service,2020-09-10,4,"As a manager of sales staff, I feel that this is an indispensable product.
This is because by using this product, you can efficiently and accurately grasp the current situation and think about what to do.",>11-30,"Easier to manage sales staff.
It is useful because you can see the expected figures and the number of projects for the current month at a glance.",3.0,5.0,5.0,5.0,5.0
244,Smooth integration with other services,using,IT related Service,2020-09-10,5,"Since it is customer management with a long history, there are many examples, and there is a market for applications that can be used in cooperation, so you can use it in cooperation with various SaaS without developing it. It is easy to consult other companies.",>201-300,"Cross-departmental management of customer information is now possible.
In addition, sales analysis has become easier because you can manage what kind of lead source they came from.",3.0,5.0,5.0,5.0,5.0
245,Accumulating customer information so that sales and delivery can be told with data,using,Consulting Service,2020-09-10,4,"Without salesforce salescloud, we would not be able to make improvements based on current sales and delivery data. As a single user it is very easy to use. Marketing data can also be accumulated here.",>101-200,"Marketing information managed in excel is now on salesforce, and orders and marketing effectiveness have improved dramatically.",4.0,5.0,4.0,5.0,5.0
246,A must-have item for sales visualization,using,IT related Service,2020-09-10,4,"As the title suggests, I feel that this is an essential service for grasping sales negotiations.
I think the negative side is for many companies, but I think it's about the cost side when the number of users increases.",>11-30,"By visualizing all of the business negotiations held by sales, it is now possible to understand not only the pipeline but also the interactions.",5.0,5.0,5.0,5.0,4.0
247,An essential tool for visualizing sales activities,using,IT related Service,2020-09-10,5,"If you enter the information properly, you can accumulate data on a daily basis, you can easily aggregate lead times and order rates by industry, collect data that can be used as a basis for decision-making, and improve marketing and sales activities. It also helps you improve.",>101-200,"The results of sales activities, which tend to be individualized by sales, can be seen somewhat by thorough input. Also, by aggregating the data, it becomes the basis for the next activity.",5.0,5.0,5.0,5.0,5.0
248,ROI is high for organizations that understand the significance of use and have people who can guide them,using,IT related Service,2020-09-10,4,"Personally, I find it quite easy to use, and I use it for analysis and progress confirmation, and the more I learn about it, the more I feel its depth. I may not be able to make full use of it yet, but I want to use it more and more.
On the other hand, it's precisely because of the functions and insights that it gives me that I can't be satisfied with using it ""for myself"", and I feel like it's a waste. I don't think you'll be truly satisfied unless you have someone to deploy it to other teams and organizations and make it work as a common infrastructure.",>101-200,"As with any CRM or SFA,
・Unification of format and charting make it easier to understand progress.
・Even at the member level, it will be easier to analyze and grasp the current situation, which will raise the level of the ability of sales members.",4.0,4.0,3.0,4.0,4.0
249,Customer response history is visualized and inherited,using,IT related Service,2020-09-10,4,"You can centrally manage the call history and email response history to customers.
When it is necessary to approach one customer from various departments, it is useful for grasping the situation in front of it.
However, the account fee is a little high, and it is somewhat difficult to cover it with operations such as requesting proxy input.",>201-300,"It is now possible to centrally manage and share customer information and customer status within the company.
Reduce misleading customers. The number of cases leading to complaints has decreased.",4.0,5.0,4.0,5.0,4.0
250,Standard of customer management,using,IT related Service,2020-09-10,5,"It was originally used for customer management in sales. Currently, it is used for lead acquisition as inside sales. It is useful because I can't remember the customer information because the leads are wide-ranging. In addition, there is also a record of other people's responses in the past.",2-10,"Fact-based numerical management is now possible. It is useful because it can send e-mails in order to streamline operations. Therefore, the work time was shortened.",3.0,5.0,5.0,5.0,3.0
251,Easier to manage the sales process,currently not using,Consulting Service,2020-09-10,4,"Compared to other tools, I felt that the ease of input, ease of management, and ease of viewing the interface were superior. Also, the system itself is not heavy, and I felt that it was a good point to be able to reduce the input man-hours.",>51-100,"In terms of sales process management, the progress of each individual and management of indicators can be seen at a glance, making it easier to manage the process because you can see who has progressed and how much progress has been made.",4.0,4.0,4.0,4.0,4.0
