,title,author_info,rating,pros,cons,helpful
936,Everything I've Ever Wanted,,5.0,"The benefits are endless. My quality of life has been impacted for the better thanks to my employment here. The people I work with are incredible. Everyone is thoughtful, compassionate, engaging, and respectful. We all want to see each other succeed. The company communicates well and has a visionary leader who not only cares about the business, but also the people and the planet.",The company is growing rapidly and sometimes you're unsure how you fit into the larger picture.,Be the first to find this review helpful
937,Excellent Company to Work For,"Oct 4, 2021 - Project Coordinator in Dallas, TX",5.0,Interesting work in a technologically advanced environment where things are moving quickly. The organization spend considerable time thinking about employees and communities. You will have a voice. Good compensation and benefits.,With rapid growth comes challenges such as finding information and resources. Growth also means that things can be disorganized at times. I have heard some departments complain of workloads.,Be the first to find this review helpful
938,Decent,"Mar 2, 2022 - Lead Software Engineer in Bellevue, WA",4.0,"Great benefits, caring, less review pressure","Management centric, less technical growth, wasting time on bad process,",Be the first to find this review helpful
941,Great Company!!!,"Nov 23, 2021 - Account Director",5.0,Great direct leadership Great pay Great benefits,Acquiring companies faster than they can effectively integrate them - Starting to feel more like an SAP and Oracle.,1 person found this review helpful
942,"Great Place, A little Slow","Nov 30, 2021 - Software Engineer in San Francisco, CA",5.0,Mental Health is valued. Interesting problems as it is a popular product and can be fun to code on Core.,Build takes an hour. Lots of tests. Lots of process.,Be the first to find this review helpful
943,Salesforce is not all that you think it is to work for,"Feb 15, 2022 - Senior Director Business Development in Denver, CO",3.0,Able to work remote from home,Typical large company navigation issues,1 person found this review helpful
944,Good company to begin and take first growth steps in career,"Feb 17, 2022 - Sales",4.0,trying to support good culture and fun people,very large and not the right fit for me,Be the first to find this review helpful
945,Greatest Place to be in Solution Engineering,"Nov 10, 2021 - Senior Solution Engineer",5.0,- Great culture and values - Tons of training and possibilities to develop a career,"- requires a high speed and adaptability to the changing priorities, which might not be for everyone",2 people found this review helpful
946,"Great Company, Poor Leadership in certain Departments","Jan 27, 2022 - Manager, Hospitality and Events in San Francisco, CA",4.0,"Great Company to work for, great leaders and values.","For a Work From Anywhere message, having no flexibility in your own department without reason is not aligning to overall message.",Be the first to find this review helpful
947,Awesome Company & proud to work here,"Sep 27, 2021 - Senior Director%2C Product Management in San Francisco, CA",5.0,Salesforce is an amazing company who values employees. The job is rewarding. The company does great things for the greater good. They always strive to make sure we feel valued in many little and big ways.,Way too many meetings and process. These are often big company issues.,1 person found this review helpful
949,Top Sales Company,"Mar 3, 2022 - Account Executive",4.0,Top company to learn sales methodology,Nothing special about the company.,Be the first to find this review helpful
950,Great work,"Mar 3, 2022 - Senior Data Analyst in Boston, MA",4.0,Good Culture. Good people. Engaging community as a whole.,Slow growth Very top heavy org,Be the first to find this review helpful
951,Generally Fine,"Feb 13, 2022 - Consultant",4.0,"No big complaints other than regular corporate nonsense, it seems like it's not as bad on my team.",Seriously lack of diverse perspectives and diversity.,1 person found this review helpful
952,Good Benefits; Impossibly large,"Feb 14, 2022 - Anonymous Employee",3.0,"Great benefits, good people at least at the level below managers. No idea about above.",It's a massive company so all the headaches with a big company,Be the first to find this review helpful
953,Good place to work,"Dec 20, 2021 - Anonymous Employee",5.0,"Work life balance, fair compensation, good culture",The corporate ladder is a bit rigid,Be the first to find this review helpful
954,Software Engineer Intern,"Dec 10, 2021 - Software Engineer(Internship) in San Francisco, CA",5.0,Super helpful and easy onboarding experience,Big company and can sometimes be working on small features that may not be as significant.,Be the first to find this review helpful
955,Working @ salesforce,"Nov 17, 2021 - Senior Product Analyst in Indianapolis, IN",5.0,The benefits are pretty competitive,"Not many to note. Depending on your team, you might feel some burnout but the company is big on work life balance. Also the promotion process sucks",1 person found this review helpful
956,"Incredible culture, even while working from home","Oct 25, 2021 - Business Value Services in Los Angeles, CA",5.0,"Feel like I am part of a team and a family even though I work remotely. Great pay, great benefits, interesting work. Seem to really care about employee success and growth.",Sometimes I have to get up early for meetings because I am on the west coast and my team is midwest/east coast.,Be the first to find this review helpful
958,"Incoming SWE, returning from internship","Dec 13, 2021 - Software Engineer in San Francisco, CA",5.0,Can’t say too much yet tbh. Great company so far.,Nothing I can say for sure yet,Be the first to find this review helpful
959,Great overall company to work for,"Dec 14, 2021 - Senior Writer in Indianapolis, IN",5.0,"great benefits, pay, and communication from execs to ICs and",None to think of yet,Be the first to find this review helpful
960,Great place to work,"Dec 14, 2021 - Corporate Development",5.0,Great culture and fast-paced environment,Total comp packages can lag the market for middle management and below,Be the first to find this review helpful
961,Great company,"Dec 15, 2021 - AGC in San Francisco, CA",5.0,Culture is amazing and people are smart.,None that I can think of.,1 person found this review helpful
963,Great Place To Work,"Dec 17, 2021 - Sales Development Representative in Chicago, IL",5.0,Amazing leadership perks and sales education,There are really none I can think of,Be the first to find this review helpful
964,Great,"Dec 11, 2021 - Enterprise Business Development Representative in Chicago, IL",5.0,"Culture, benefits, interview process, everything is world class.",None so far that I can think of,Be the first to find this review helpful
967,"Great Company, Great Team","Dec 10, 2021 - Senior Director in Austin, TX",5.0,"Empowered to improve the business The product portfolio is ever growing, bringing new opportunities Company lives its values",Hard to keep up with the growth in product portfolio,Be the first to find this review helpful
968,great company,"Dec 10, 2021 - Senior Director Solution Engineering in Seattle, WA",5.0,Great products. Great values passed from the highest executive levels on down through the company.,A very complicated bureaucracy which occasionally results in people working together who have somewhat competing agendas.,Be the first to find this review helpful
969,Best Place You'll Ever Work For,"Dec 10, 2021 - Account Executive",5.0,Salesforce truly cares about their employees' well-being and provides a fun-to-work-in culture.,Nothing bad to say about Salesforce after working there for almost 3 years!,Be the first to find this review helpful
970,"Not the best, not the worst. Not a place for introverts","Dec 8, 2021 - Solution Engineer",3.0,Pay and benefits are good.,"Salesforce is better at buying outside talent than it is at developing its own people which is why there are so many boomerang employees. People leave to get the experience they need to go to the next role they want. There are no formal performance reviews meaning being promoted to your next role is very subjective depending on whether or not your leadership team likes you. Additionally, for the all the talk about showing up to work and embracing your authentic self, at the end of the day all anyone cares about is how you show up on a dashboard which incentives people to log things they did not do sometimes to an absurd degree like someone logging that they worked 70 hours a week every week for a quarter and then getting an award for most hours logged. Relatedly there is a huge emphasis placed on managing your personal brand. If you come from a cultural background where you are taught to do your best work day after day and expect that to be noticed in merit of itself, you will be disappointed working here at least in the sales organization. You have to have the desire to talk about yourself a lot and be a self promoter. Lastly, I want to share something I personally observed while working here. In my first sales team which was predominantly white, we had one female person of color on the team. She was exceptionally hard working, eager to learn, and dedicated to her job. Management and her colleagues did not support her in the way that was needed for her to reach her full potential. Moreover I believe they made work difficult for her in an effort to push her out of the organization. I never understood why. Maybe she didn't fit a type that her team was looking for. She later left to join another company where she is, unsurprising to me, doing very well. I would have thought that retaining and supporting talented employees of all backgrounds would be a priority but especially employees of color given how much Salesforce as a company talks about diversifying its workforce.",8 people found this review helpful
971,Caring Employer Challenging Work,"Dec 10, 2021 - Education Partnership Manager",5.0,"Work life balance, Compensation, Development Opportunities",Nothing that I can think of at this time,Be the first to find this review helpful
972,"Great Company, Great Culture, Great People","Dec 8, 2021 - Associate",5.0,"Excellent culture and a leadership team that actually does seem to care about the people, strong benefits, dedicated co-workers, plenty of opportunities","Year end can be tough, but it's still awesome",Be the first to find this review helpful
973,Bad,,1.0,No it was not good,Mainly bad experience like k said,1 person found this review helpful
974,Great place to work,,5.0,"The job keeps you on your toes, always pushing the limits with the latest technology. Work remote full time even before covid. People look to optimize everything all the time so not much wasted work.",A little too much mandatory yearly training on security and other stuff.,Be the first to find this review helpful
975,Best Place to Grow Your Career,,5.0,Incredible amount of opportunity for you to grow your career in the path that best suits you,Large organizations can be difficult to navigate sometimes,Be the first to find this review helpful
976,Joined via acquistion,,5.0,good company to work for overall.,large company and I prefer smaller companies,Be the first to find this review helpful
977,SFMC TAM,,5.0,Good culture and remote work,There can be frustration working within the company,Be the first to find this review helpful
978,Best. Company. Ever.,,5.0,"So many opportunities here at Salesforce. Management is very receptive to feedback, and you have lots of opportunities to give back to the community. I feel so proud to work here!","So many opportunities here at Salesforce. You have to really be intentional with what you are choosing to do. Jack of all, master of none. Also, you can get stuck on projects that you are not passionate about. Such is consulting!",Be the first to find this review helpful
979,Amazing Culture,,5.0,Really tuned in to employee and customer needs,I don't see any downside to working here.,Be the first to find this review helpful
980,"Trustworthy, transparent and friendly interview experience",,5.0,All the people I've met from the recruiter to my now manager have all been amazing. They all really seem to enjoy working at Salesforce and want to help others and each other.,"None so far. The onboarding seems a bit overwhelming, but there is a lot to learn and they are still growing strong.",Be the first to find this review helpful
981,work,,4.0,Have the opportunity to be an entrepreneur,Not having a steady income,Be the first to find this review helpful
982,Good,,5.0,Good Office to go and flexible,Nothing to say all good,Be the first to find this review helpful
983,Too messy,"Dec 16, 2021 - Account Executive in New York, NY",3.0,"Great Benefits, Comfortable Work-Life Balance","Growth through acquisition, difficult to sell to new companies",Be the first to find this review helpful
984,Awesome Experience,"Dec 1, 2021 - Account Executive in Dallas, TX",5.0,✅ Willingness to Pay for Talent ✅ Willing to train ✅ Wonderful Leaders ✅ Amazing Benefits,NOTHING comes to mind! Culture so far seems amazing 🤩,Be the first to find this review helpful
985,"Great culture, work-life balance, and very capable and supportive leadership .","Dec 1, 2021 - Anonymous Employee",5.0,"Work-life balance, unlimited PTO, wellness Fridays, Well-being reimbursement, Supportive leadership",Heavy in various processes could be a tad information overload,Be the first to find this review helpful
986,"A large, professional, excelling organization","Dec 15, 2021 - Sales Strategy Manager in Seattle, WA",4.0,"Tons of resources, very professional colleagues, a company and workforce that both cares and wants to excel","Tons of ""top down"" information drives and initiatives, very regular training assignments related to overall company mission and strategy",Be the first to find this review helpful
987,"Great, but maybe not REALLY great","Dec 14, 2021 - Business Analyst in Indianapolis, IN",4.0,"Great people pretty much across the board, laid back (for the most part), really care about employee well being. Direct managers are very supportive, pay is good (but not as great as you might expect), benefits are good, flexible on remote vs in office.","Can be very stressful at month/quarter/year ends. Deadlines can be incredibly hard to meet - even when working with teams of some highly motivated and intelligent people. Generally speaking, people are very passionate which is great, but can lead to conflict if there are competing interests. This can be uncomfortable, but is something you have to get used to. Upper management is 50/50 on saying the right thing vs saying something completely tone deaf (though admittedly, this ratio is still much better than most places). Work life balance is often talked about and encouraged, but when push comes to shove, the work has to get done, and sometimes you’re left holding the short end of that stick.",Be the first to find this review helpful
988,Account Executive,"Dec 12, 2021 - Account Executive",3.0,Great benefits solid product nice perks nice offices,Clicky politics did not develop talent Sabotage behavior,1 person found this review helpful
989,10+ Years with a Top-Notch Company,"Nov 29, 2021 - Distinguished Solution Engineer",5.0,"Salesforce consistently demonstrates that they care deeply about their employees and the always try to do what's best for their valued employees. From a technology perspective, Salesforce always keeps me on my toes with constant innovation and evolving technology. This allows me to stay challenged in my every day work. They also provide some of the best benefits in the industry",Salesforce is growing at an enormous pace and sometimes the quick growth brings a lot more red tape in conducting business.,Be the first to find this review helpful
990,Great people great company,"Nov 28, 2021 - BDR in Indianapolis, IN",5.0,"Benefits are great, location is downtown, pay is nice.",Learning curve will be hard for people starting a tech job for the first time,Be the first to find this review helpful
991,Great place to work!,"Nov 28, 2021 - Anonymous Employee",5.0,"Exciting, fast paced work that will surely help you grow as an employee.",Career growth can be challenging,Be the first to find this review helpful
993,Would Recommend,,5.0,Great values. Great people and work balance.,"Big, big company now with lots of cha ge",Be the first to find this review helpful
994,What a disappointment...,,3.0,- Benefits are top notch - Perks in the tower and holiday party are impressive - Sales tactics and strategies are great for growth even as an experienced rep - You’ll meet very talented sales rep with a wide variance of styles -ESPP - generous maternity/paternity leave. Although this will affect your likelihood of be promoted,"I came into Salesforce like every rep, excited and eager to get my “MBA” in sales. Working here you’ll have to be prepared to give up everything just to stay afloat. In the first year you will most likely be given a terrible territory and what you do with it will decide your future here. Things you will need to juggle effortlessly or will lead you down the road of being let go are: - Activity- lots of calls. People who fib numbers here are celebrated by leadership but frowned upon by reps - Opp rigor- the amount of fields you will need to update are mind numbing - Pipeline- with a terrible territory be prepared to pipe aspirational pipeline that will be highly scrutinized - Prep meetings- there are endless prep meetings before calls. Due to schedules each person involved will require a prep meeting, leaving your day with little time for anything else. - Team selling- be prepared to sell with folks much junior than you and not held to as high of standards. If the deal falls through, it’s on you. There are a few coprimes that are skilled sales reps - Your “brand”- It’s important to maintain appearances, even on bad days. Your brand is determined by how involved you are in diversity, volunteer work, and leading the team, which requires tenure. -Manager 1:1’s- these are a trap to look out for. Salesforce preaches trust as one of it pillars, but beware that everything said in those meetings will be used against you when they have soured on you - Time management- working a 12 hr day is table stakes. There are endless distractions you will need to navigate and make hard decisions on “brand”/ appearance maintenance vs selling The work/life balance is very heavy on the work side. The exec team repeatedly say their biggest regrets are not spending enough time with family. This will never change if they don’t take it serious. There is a lot you can learn here but at the expense of your self confidence as some managers make you feel worthless when your awful territory isn’t performing. If that isn’t enough to make you steer clear, the pay is very low and less than 20% of reps hit their annual numbers The “Ohana” culture is a mirage. There is nothing remotely familial about the culture. It is an ultra competitive pressure cooker. I just had such higher hopes for my experience left disappointed...",431 people found this review helpful
995,Amazing culture & people at one of the best companies in the world,,5.0,"Salesforce is an amazing company with great benefits, culture, and people. Unlike any other place I’ve ever worked at!","Low compensation compared to other tech firms, hard to get promoted",Be the first to find this review helpful
996,Good company,,5.0,Good for WLB. Great smarts. Company outlook is great.,Tech stack and growth opportunities not so sexy.,Be the first to find this review helpful
997,Happy to work for Salesforce,,5.0,"Good compensation, competitive benefit programs, unlimited time off, Philanthropic principles and values, great leadership",Do not see any specific cons,Be the first to find this review helpful
998,Great Company,,5.0,"Culture, Values, Innovation & working environment",Nothing relevant so far to me,Be the first to find this review helpful
999,Incredible Company and Unmatchable Benefits,,5.0,"The benefits of working for Salesforce are beyond any other organization I've ever been a part of! Not only health and wellness benefits but the financial benefits, community involvement, inclusion, and so much more!","If you are expecting to have wonderful benefits without a little bit of grit & grind - that would be the only ""con"". You have to work - and work hard. It's worth it.",Be the first to find this review helpful
1000,Phenomenal company that takes care of its employees/family!,,5.0,"Salesforce has great benefits and goes out of its way to take care of each and every employee and their families, as part of one Salesforce family. Great products, access to and collaboration with super-smart coworkers and incredible visionaries. There's a healthy work-life balance at Salesforce where you are encouraged to be and take care of...you and yours.","The company's growing. It's made acquisitions the past few years and it takes time to understand those companies/products and how to incorporate them into how translate business value for customers. That said, leadership is doing a good job helping to navigate what it all means. But it takes time as large as Salesforce has grown.",Be the first to find this review helpful
1001,Great company to work with,,5.0,"Great benefit, great culture, great work life balance",I don’t have much to complain.,Be the first to find this review helpful
1002,Incredible Company,,5.0,"Amazing culture & people Top notch products, benefits, & pay Team selling environment - everyone is in it together Great leadership",Too much hand holding for BDR's Initiatives rolled out by broader OU without manager input occasionally - this can sometimes work against you depending on what you are trying to accomplish for your team,Be the first to find this review helpful
1003,Great place to work!,,5.0,"Company culture top down is excellent. As the company has gotten bigger, there's more variation between teams or departments. The fact that there are many boomerangs is a testament to the company; many people return back after exploring other opportunities. The company continues to be a leader in their space.","Since the company has grown to be quite large, company culture may not be as consistent across the board as before.",Be the first to find this review helpful
1004,“Ohana” Best Culture,,5.0,"- Best WLB in Tech industry - Great benefits (health reimbursement, unlimited PTO, good insurance options) - Competitive pay",- Tougher to move around internally - Lack of transparency on promotion process,Be the first to find this review helpful
1005,Outstanding,,5.0,Best company to work for,Nothing significant that prevents you from working for SFDC,Be the first to find this review helpful
1006,Amazing Company,,5.0,Work life balance Respect Salesforce cares abt employees Agile,May not offer salary like FAANG companies.,Be the first to find this review helpful
1007,Great Place to work,,5.0,"Excellent company to work for. The benefits are great, people are great.",Large company. You can get lost in the numbers,Be the first to find this review helpful
1008,Great Company Good Culture,,5.0,PTO Salary Culture CEO & Character,Project teams can be very silo'd which makes it hard to meet deadlines Promotions now = a popularity contest - not based on how well you are doing at the actual job so it's easier to leave to get that promotion,Be the first to find this review helpful
1009,Solid,,5.0,"Good place to work, treat you well",Takes a long time to move up,Be the first to find this review helpful
1010,Great,,5.0,they were great to work with,don’t have any at all,Be the first to find this review helpful
1011,,,5.0,"Good environment, sprint planning, unlimited PTO","Working from home, small team bounding",Be the first to find this review helpful
1012,Great Company to Work For,,5.0,Sales Training Compensation Work-Life Balance Management,"Fast Pace Environment- Can be Challenging for someone Entry-Level Sales, lots of things to learn your first 6 months, which can be overwhelming",Be the first to find this review helpful
1013,Great Company,,5.0,Company is really great and the working culture is also amazing!,There are times promotions are political,Be the first to find this review helpful
1014,Great Company,,5.0,"Great experience, would work for them again","Too much freedom, sometimes coasted through work.",Be the first to find this review helpful
1015,Great place to work.,,5.0,Work life balance is amazing. But you have to work hard.,How much you like your job depends on who you report to.,Be the first to find this review helpful
1016,Great company,,5.0,Great tech stack and company,There are no real cons here,Be the first to find this review helpful
1017,Thankful to be at Salesforce,,5.0,"Positive culture, supportive management, tons of training",Lots of moving pieces and to learn,Be the first to find this review helpful
1018,Differentiator = environment,,5.0,"There’s no room to be an jerk here. The environment of positivity, learning, and celebrating success weeds bad behavior and actors out.",Experiencing growing pains transitioning from growing enterprise to a mature global fortune 500,Be the first to find this review helpful
1019,Amazing,,5.0,"Love it here, great talent",Nothing bad about working here,Be the first to find this review helpful
1020,Best Place to Work,,5.0,Lots of career development learning opportunities .,Business is evolving causing frequent shifts in work focus.,Be the first to find this review helpful
1021,Good Overall,,5.0,good comp products and company. lots of room for growth. mba in sales,not flexible sometimes. outsourced internal operations team that is slow to respond to inquiries.,Be the first to find this review helpful
1022,It's hard to imagine working anywhere else,,5.0,"Smart, nice people Great managers Great growth and career opportunities",Rate of change is very high,Be the first to find this review helpful
1023,SF is great,,5.0,Money Time flexibility Remote work,Some clients are harder to work with than others,Be the first to find this review helpful
1024,best place to work ever,,5.0,unlimited resources to succeed and a great work culture,none that i can think of,Be the first to find this review helpful
1025,They pay well,,5.0,They reward those that are willing to put the work in,"It's a hard job, tough space to work in",Be the first to find this review helpful
1026,Beautiful culture and Innovative Tech,,5.0,- Culture embraces and promotes equality and wellness - Belief that there is a good position in the company for everyone. Bosses support employees achieving their career goals. -No tolerance for micro aggressions,-Innovation happens so quickly it’s hard fully digest and support. -Internal processes change frequently and are tied to metrics for bonuses.,Be the first to find this review helpful
1027,Awesome,,5.0,I love it! Culture benefits people are amazing,It’s really great no cons,Be the first to find this review helpful
1028,,,5.0,"Benefits, people, Tools, Incentives, support",Hard work and High expectations,Be the first to find this review helpful
1029,Great place to work,,5.0,Great group of developers and experience,Too many required online courses too often IMO that are not always related to my job.,Be the first to find this review helpful
1030,Growth by Acquisition has killed the old Salesforce,,2.0,There are lots of smart and well-meaning people at Salesforce. Many non-sales do try and reflect the company values. Benefits are good (though not crazy) for a large tech company. New hires make a lot of money. Company has made a real effort to diversify and give women especially opportunities to move up (less so minorities). There are still a good number of old-time employees who genuinely care about the company and its values.,"As someone whose been with the company many years, it has transitioned from a smaller, agile, product-focused company to a Marketing and Sales holding company that does little or no product development. Nearly every major product announcement over the last few years featured huge fanfare, but resulted in the product dying a quiet end within 2 years. Pretty much every major product announcement now is just a Marketing 're-alignment', rebranding existing products, not actually developing anything new. All innovation is bought, not developed internally, and there is little sign that the various acquisitions (Mule, Tableau, Slack) are actually creating a 2+2=5 effect. It really feels like a bunch of independent companies that are owned by the same conglomerate. The focus on growth by acquisition also means very limited growth opportunities internally since the existing products aren't really growing or innovating significantly, it isn't creating new positions. A new, related phenomenon is that in order to retain talent, many low-to-middle managers are getting 'promotions in place', i.e. they are getting a bigger title and more money without additional responsibility because their orgs aren't growing. So you see lots of VPs with only two directs who are also VPs, creating lots of unnecessary layers of management who all feel they have to micromanage those below them in order to show they are 'adding value'. This lack of organic growth means a lot of people are attritting because they don't see any real career path. Career development isn't a focus beyond the first line of management. After that its all operations, process and programs. Manager success is evaluated on how many programs did you develop and market, not how many employees did you develop or how productive and happy is your team. Another issue is the split between the company image and Sales. While I do think a lot of product and engineering people do really believe in the company values, remember, this is a company founded by a Sales Guy. There is a very cutthroat sales mentality inherited from Oracle that often sees sales reps and leaders blatantly ignore values like trust, equality and customer success in order to hit their quarterly number. Sales is really the #1 value. The large and not rationalized product stack means that often sales reps are pitted against each other because they have overlapping products, and the result can be the customer gets the product of the better rep, not the product they need. Many products are 'zombie' products with no future product development and virtually no support staff, but because there are reps with quota on them, they are still being sold despite the fact that the customer will likely attrit in a couple of years once they realize they've been sold a lemon. Turnover in the Sales org also means a lot of inexperienced account execs who have zero understanding of the products or the company culture but are still being put on big accounts. Over and over you'll hear how solutions teams are the most vital part of the sales organization, but every award, spiff or shoutout goes to the sales rep. You'll hear about some amazing demo that sold the deal but the only names you will here are 5 different reps/AEs, like they did all the work themselves. They'll pat themselves on the back, go off to sales club and collect a massive commission and the SE will get back to work. Another thing most new employees won't notice at first because they just got their nice offer package, is that Salesforce hires at much higher dollar amount than it pays existing employees. Pretty much every new hire will make a LOT more than everyone else on a team. It's joked repeatedly that if you want a raise or promotion, your best option is to leave the company and get re-hired in a year. Stock is incredibly stingy. Unlike most tech companies that do yearly refreshes, you will be lucky to get new RSUs every 3-4 years, even for very top performers. Many relatively senior employees (15+ years overall experience, 4+ with company) have NO stock. A team of 10 might get 2-3 stock refreshes in a year. This is the #1 retention tool, and yet Salesforce consistently lags behind all competitors here. A lot of lip-service is given to the 'giving back' part of the company. When I joined this was for real. You got a week of VTO time, and if you used all that you'd get a sizeable grant to give to a charity of your choice. They removed the grants a few years ago without making any real announcement. The VTO time is still there but if you are above a certain level, you are on 'unlimited' PTO (which means you can take what you want, but only if your manager is cool AND you don't feel guilty about taking off during whatever crisis is currently happening). This makes the VTO time meaningless, since it just gets blurred in with PTO and sick leave.",2 people found this review helpful
1031,AE,,5.0,Lifestyle is great and treat employees right.,Base pay for entry level Account Executives,Be the first to find this review helpful
1033,Incredible place to work,"Jul 5, 2022 - Director",5.0,"I have been at Salesforce for 6 months, and I can't say anything negative about it. I am in the TMP organization, and our leadership, colleagues, teamwork, partnership, transparency and collaboration isa top notch. I work with so many incredibly intelligent people. I feel lucky to be here.","I truly can't name any. I will say that the level of work on a worldwide scale (timezone differences, working well async, and ensuring we avoid late hours for colleagues outside of the U.S. may be challenging, but they are actively being worked on).",Be the first to find this review helpful
1034,Beware. All smokes and mirrors.,"May 4, 2022 - Account Executive",2.0,-Friendly people. Willing to share knowledge and encouraging. - Structured promotion track (18months in seat before move can be made) -Monthly wellness days and health reimbursement,"-Terrible onboarding and training for external hires. Literally expects you to just jump in and start closing. -Micromanaging environment. All they care about is numbers and deals closed. -Tons of politics involved to get promoted. All about who likes you and if you're sipping the company kool-aid mindlessly. -Low pay. Company is not competitive and relies on brand recognition to lure talent. -Territory cut in half and quota increased. Very few reps hit monthly number. -Sales processes and tools are limited and outdated. -Lack of diversity. Seems to be focused on women only with little energy on supporting/hiring more people of color within Sales org. In all Salesforce is a mature, ""stable"" company and isn't for those looking for an innovative, hip, diverse, and product driven environment. Also if you're looking for lucrative pay this definitely isn't the place. Beware.",10 people found this review helpful
1035,Best Company I have EVER worked for,"Jul 21, 2022 - Business Development Representative",5.0,Maternity Leave is 6 months! I am growing my family and this company has been so wonderful when it comes to work life balance. Leadership is always promoting the company values and lives up to them. Salesforce work from home is truly a blessing for parents with young children who need flexibility. The work is also very fulfilling.,"Middle Management can be sub-par, with not much experience or skills in managing people.",Be the first to find this review helpful
1036,Onboarding Review,"Jul 25, 2022 - Account Executive",5.0,"Even though the onboarding was remote, the experience felt very personal and in-depth. The entire onboarding experience takes quite some time due to the various modules and stages, but it sets you up for success.",Would prefer more on-site interaction for this kind of ramp,Be the first to find this review helpful
1037,Amazing Company,"Aug 6, 2022 - LMTS, Software Engineering in San Francisco, CA",5.0,Work life balance Respect Salesforce cares abt employees Agile,May not offer salary like FAANG companies.,Be the first to find this review helpful
1039,dd,"Aug 10, 2022 - Commercial Account Executive in Denver, CO",4.0,good company to work for and cut your teeth,lots of internal politics and processes,Be the first to find this review helpful
1040,Great place to work.,"Aug 3, 2022 - Anonymous Employee",5.0,Work life balance is amazing. But you have to work hard.,How much you like your job depends on who you report to.,Be the first to find this review helpful
1041,Solid,"Aug 5, 2022 - Account Executive in Vancouver, WA",5.0,"Good place to work, treat you well",Takes a long time to move up,Be the first to find this review helpful
1042,"Great Company, Complex environment",,5.0,Great benefits Great Pay Lot of smart people Good leadership,Complex product environment Tight deadlines Pressure to move super fast,Be the first to find this review helpful
1043,Great company,,5.0,Great team environment. Awesome benefits,Don't have any and I've been here for 3 years,Be the first to find this review helpful
1044,Great place to work!,,5.0,"Culture, salary, opportunities, people/teams, company mission, inclusion, development opportunities","Can feel a bit siloed at times, if you work within a cloud, though I know they are working on that.",Be the first to find this review helpful
1045,Amazing company.,,5.0,"Amazing company, wonderful culture, great benefits, great product.","Nothing applicable, wonderful company, I love working here.",Be the first to find this review helpful
1046,Abusive Middle Management,,2.0,"I can’t think of any. I have had better benefits, better pay and better management at other companies. I don’t really understand why SF has such a good reputation. I have the same title at a different company… my benefits are better and I make 30k more a year.","Terrible culture that promotes relentless toxic positivity. Overworked, underpaid, over stressed- but do it with a smile. I had a miscarriage and was told that “I’d be taking a risk” if I took time off to recover. I reported this threatening and abusive behavior to HR and they did nothing. I had another boss who would talk badly about other team members, sneak around and spy on group chats, verbally abuse employees. I took a lunch one day and didn’t answer him immediately after he IMed me- and he said “so are you just not working today?” Im 10 years into my career and have never been treated SO badly by a company.",Be the first to find this review helpful
1047,Not what it was,,2.0,"Work life balance, v2mom transparency","toxic environment, lack of leadership accountability or consequences",Be the first to find this review helpful
1048,Salesforce REWS,,5.0,The bonus structure was great. Offices were really nice!,Not a very challenging job. Not a ton of accountability for people who don’t do their jobs.,1 person found this review helpful
1049,Love it here,,5.0,"Lots of opportunities, progressive company, work is valued and appreciated by management",Typically cons of a growing company,1 person found this review helpful
1050,Great training hard quota,,4.0,"Great company, training, benefits and sales culture. Sales first org",Hard quotas and excessive input expectations. Time in seat.,1 person found this review helpful
1051,"Great Company, but not every part of it",,3.0,"Lots of incredibly smart and hard working people with great values. Fantastic pay, benefits and products.",The sales organization is incredibly cut-throat,2 people found this review helpful
1052,UNREAL,"Jul 22, 2022 - Strategic Account Executive in Laguna Niguel, CA",5.0,-Benefits -Culture -People -Solutions Salesforce doesn't compare to any other tech company out there. Truly a lifetime/life-changing kind of company.,None that I can think of.,Be the first to find this review helpful
1053,Great Job,"Jul 22, 2022 - Account Executive",5.0,Great company to work for,There are no downsides to working here.,Be the first to find this review helpful
1054,Good place to work,"Jul 22, 2022 - Anonymous Employee",5.0,Good benefits and pay here,Large company with lots of processes,Be the first to find this review helpful
1055,Great culture but can be bureaucratic,"Aug 2, 2022 - Anonymous Employee",4.0,Flexible schedule - the offices are there if you want to go in but you don't need to; fun and compassionate culture,"With such a large organization, getting anything done seems to require alignment with a lot of stakeholders, which drags out the decision-making",1 person found this review helpful
1056,Amazing company culture and work/life integration!,"Jul 21, 2022 - Senior Systems Engineer in Denver, CO",5.0,Leadership truly cares about the employees. The FTO model actually works here and employees are encouraged to take time for themselves without guilt. Since going to a distributed model it has been even easier to integrate your life with work. It's not really a work/life balance anymore since you can do life things while working and vice-versa!,"Some of the benefits are a bit lacking compared to some other tech companies and the large size of the company can make it feel a bit impersonal at times. The size also makes getting some things done take longer than they should due to protective measures, though that's not really a bad thing overall.",Be the first to find this review helpful
1057,Great Place to Work,"Jul 21, 2022 - Rsd Associate",5.0,Great culture all across the board,No cons at this time,Be the first to find this review helpful
1058,Leader in everything,"Jul 21, 2022 - Senior Sales Strategy Analyst in Naples, FL",5.0,"Amazing culture, always learning and making the world a better place.","Very big ship, sometimes its hard to steer.",Be the first to find this review helpful
1059,Great place to work,"Jul 21, 2022 - SMTS Software Engineer",5.0,Awesome managers and perks !,sometimes technical debt challenges at work,Be the first to find this review helpful
